codigo,descricao,cod_descricao
12454,Pedido De Uniformização De Interpretação De Lei,12454:Pedido De Uniformização De Interpretação De Lei
11395,Remissão Ao Adolescente Com Suspensão Do Processo,11395:Remissão Ao Adolescente Com Suspensão Do Processo
11877,Absolvição Sumária - Crimes Dolosos Contra A Vida,11877:Absolvição Sumária - Crimes Dolosos Contra A Vida
244,Conversão De Agravo De Instrumento Em Agravo Retido,244:Conversão De Agravo De Instrumento Em Agravo Retido
12476,Medida Protetiva Determinada Por Autoridade Policial,12476:Medida Protetiva Determinada Por Autoridade Policial
12676,Não-Procedência Da Impugnação (Registro Cassado),12676:Não-Procedência Da Impugnação (Registro Cassado)
12293,Ato Cumprido Pela Parte Ou Interessado (Sem Atributo),12293:Ato Cumprido Pela Parte Ou Interessado (Sem Atributo)
11381,Ausência De Citação De Sucessores Do Réu Falecido,11381:Ausência De Citação De Sucessores Do Réu Falecido
12434,Conhecimento Para Dar Provimento Ao Recurso Especial ,12434:Conhecimento Para Dar Provimento Ao Recurso Especial 
1061,Disponibilização No Diário Da Justiça Eletrônico,1061:Disponibilização No Diário Da Justiça Eletrônico
48,Escrivão/Diretor De Secretaria/Secretário Jurídico,48:Escrivão/Diretor De Secretaria/Secretário Jurídico
10964,Extinção Por Cumprimento De Medida Sócio-Educativa,10964:Extinção Por Cumprimento De Medida Sócio-Educativa
12673,Não-Procedência Da Impugnação (Registro Deferido),12673:Não-Procedência Da Impugnação (Registro Deferido)
12435,Conhecimento Para Negar Provimento Ao Recurso Especial,12435:Conhecimento Para Negar Provimento Ao Recurso Especial
12675,Não-Procedência Da Impugnação (Registro Cancelado),12675:Não-Procedência Da Impugnação (Registro Cancelado)
12767,Por Divergência De Entendimento Com Tribunal Superior,12767:Por Divergência De Entendimento Com Tribunal Superior
12442,Conhecimento Para Conhecer Em Parte O Recurso Especial ,12442:Conhecimento Para Conhecer Em Parte O Recurso Especial 
12257,Definição De Tese Jurídica Em Incidentes Repetitivos,12257:Definição De Tese Jurídica Em Incidentes Repetitivos
271,"Exceção De Incompetência, Suspeição Ou Impedimento","271:Exceção De Incompetência, Suspeição Ou Impedimento"
11015,"Exceção De Incompetência, Suspeição Ou Impedimento","11015:Exceção De Incompetência, Suspeição Ou Impedimento"
196,Extinção Da Execução Ou Do Cumprimento Da Sentença,196:Extinção Da Execução Ou Do Cumprimento Da Sentença
12674,Não-Procedência Da Impugnação (Registro Indeferido),12674:Não-Procedência Da Impugnação (Registro Indeferido)
1062,Redisponibilização No Diário Da Justiça Eletrônico,1062:Redisponibilização No Diário Da Justiça Eletrônico
12258,Emissão De Juízo De Retratação Pelo Órgão Julgador,12258:Emissão De Juízo De Retratação Pelo Órgão Julgador
12671,Procedência Em Parte Da Impugnação (Registro Cassado),12671:Procedência Em Parte Da Impugnação (Registro Cassado)
12672,Procedência Em Parte Da Impugnação (Registro Cassado),12672:Procedência Em Parte Da Impugnação (Registro Cassado)
12668,Procedência Em Parte Da Impugnação (Registro Deferido),12668:Procedência Em Parte Da Impugnação (Registro Deferido)
12299,Prorrogação De Cumprimento De Pena/Medida De Segurança,12299:Prorrogação De Cumprimento De Pena/Medida De Segurança
12670,Procedência Em Parte Da Impugnação (Registro Cancelado),12670:Procedência Em Parte Da Impugnação (Registro Cancelado)
905,"De Estrangeiro Para Deportação, Expulsão Ou Extradição","905:De Estrangeiro Para Deportação, Expulsão Ou Extradição"
11401,Procedência Do Pedido E Procedência Do Pedido Contraposto,11401:Procedência Do Pedido E Procedência Do Pedido Contraposto
12669,Procedência Em Parte Da Impugnação (Registro Indeferido),12669:Procedência Em Parte Da Impugnação (Registro Indeferido)
12438,Conhecimento Para Dar Parcial Provimento Ao Recurso Especial,12438:Conhecimento Para Dar Parcial Provimento Ao Recurso Especial
12443,Conhecimento Em Parte Para Dar Provimento Ao Recurso Especial,12443:Conhecimento Em Parte Para Dar Provimento Ao Recurso Especial
12066,Cumprimento De Levantamento Da Suspensão Ou Dessobrestamento,12066:Cumprimento De Levantamento Da Suspensão Ou Dessobrestamento
11407,Improcedência Do Pedido E Procedência Do Pedido Contraposto,11407:Improcedência Do Pedido E Procedência Do Pedido Contraposto
11403,Procedência Do Pedido E Improcedência Do Pedido Contraposto,11403:Procedência Do Pedido E Improcedência Do Pedido Contraposto
11396,Concessão De Remissão A Adolescente Com Exclusão Do Processo,11396:Concessão De Remissão A Adolescente Com Exclusão Do Processo
