codigo,descricao,cod_descricao
9921,Corrupção Ativa (Art. 333),9921:Corrupção Ativa (Art. 333)
3523,Crimes Contra A Fé Pública,3523:Crimes Contra A Fé Pública
3520,Crimes Contra A Paz Pública,3520:Crimes Contra A Paz Pública
11466,Dano A Equipamento Eleitoral,11466:Dano A Equipamento Eleitoral
11312,Desacato E Da Desobediência,11312:Desacato E Da Desobediência
3498,Difusão De Doença Ou Praga,3498:Difusão De Doença Ou Praga
9893,Do Sistema Nacional De Armas,9893:Do Sistema Nacional De Armas
10182,Dívida Pública Mobiliária,10182:Dívida Pública Mobiliária
12818,Educação Infantil - Creche,12818:Educação Infantil - Creche
11146,Estelionato E Outras Fraudes,11146:Estelionato E Outras Fraudes
11740,Exceção - De Coisa Julgada,11740:Exceção - De Coisa Julgada
12156,Extinção Do Poder Familiar,12156:Extinção Do Poder Familiar
11158,Extorsão Mediante Sequestro,11158:Extorsão Mediante Sequestro
11884,Fornecimento De Medicamentos,11884:Fornecimento De Medicamentos
12222,Fornecimento De Medicamentos,12222:Fornecimento De Medicamentos
12484,Fornecimento De Medicamentos,12484:Fornecimento De Medicamentos
12487,Fornecimento De Medicamentos,12487:Fornecimento De Medicamentos
9886,Genética (Lei Nº 8.974/95),9886:Genética (Lei Nº 8.974/95)
10709,Gratificação Estadual - Am,10709:Gratificação Estadual - Am
10305,Gratificações De Atividade,10305:Gratificações De Atividade
10338,Gratificações E Adicionais,10338:Gratificações E Adicionais
11704,Habeas Corpus - Liberatório,11704:Habeas Corpus - Liberatório
12593,Impugnação De Ato Judicial,12593:Impugnação De Ato Judicial
5930,Incidência Sobre Hora Extra,5930:Incidência Sobre Hora Extra
7779,Indenização Por Dano Moral,7779:Indenização Por Dano Moral
9992,Indenização Por Dano Moral,9992:Indenização Por Dano Moral
10433,Indenização Por Dano Moral,10433:Indenização Por Dano Moral
5843,Induzimento À Especulação,5843:Induzimento À Especulação
9715,Induzimento À Especulação,9715:Induzimento À Especulação
11602,Inelegibilidade - Parentesco,11602:Inelegibilidade - Parentesco
10372,Inscrição / Documentação,10372:Inscrição / Documentação
10776,Isenção Do Dever Eleitoral,10776:Isenção Do Dever Eleitoral
5951,Iss/ Imposto Sobre Serviços,5951:Iss/ Imposto Sobre Serviços
9565,Laudo Arbitral Internacional,9565:Laudo Arbitral Internacional
7789,Limitação De Fim De Semana,7789:Limitação De Fim De Semana
6051,Mandato Eletivo/Lei 9.506/97,6051:Mandato Eletivo/Lei 9.506/97
10044,Omissão De Entrega De Notas,10044:Omissão De Entrega De Notas
11290,Omissão De Lealdade Militar,11290:Omissão De Lealdade Militar
5293,Operadores Cinematográficos,5293:Operadores Cinematográficos
12005,Outras Medidas De Proteção,12005:Outras Medidas De Proteção
5911,Perigo De Contágio Venéreo,5911:Perigo De Contágio Venéreo
9654,Perigo De Contágio Venéreo,9654:Perigo De Contágio Venéreo
6218,Pessoa Jurídica Estrangeira,6218:Pessoa Jurídica Estrangeira
12916,Plano Estadual De Educação,12916:Plano Estadual De Educação
12917,Plano Nacional De Educação,12917:Plano Nacional De Educação
5850,Posse Sexual Mediante Fraude,5850:Posse Sexual Mediante Fraude
9748,Posse Sexual Mediante Fraude,9748:Posse Sexual Mediante Fraude
12426,Proposta De Nova Resolução,12426:Proposta De Nova Resolução
7781,Protesto Indevido De Título,7781:Protesto Indevido De Título
10609,Quebra Do Sigilo Telefônico,10609:Quebra Do Sigilo Telefônico
11481,Recusa De Entrega De Boletim,11481:Recusa De Entrega De Boletim
11934,Registro Civil De Nascimento,11934:Registro Civil De Nascimento
5979,Responsabilidade Tributária,5979:Responsabilidade Tributária
6038,Seguro Acidentes Do Trabalho,6038:Seguro Acidentes Do Trabalho
10072,Sistema Nacional Do Desporto,10072:Sistema Nacional Do Desporto
11219,Sobrevôo Em Local Interdito,11219:Sobrevôo Em Local Interdito
12155,Suspensão Do Poder Familiar,12155:Suspensão Do Poder Familiar
