codigo,descricao,sigla,cod_descricao
1390,Revisão Judicial De Decisão Do Conselho Tutelar,RJDCT,1390:Revisão Judicial De Decisão Do Conselho Tutelar
12078,Cumprimento De Sentença Contra A Fazenda Pública,CumSenFaz,12078:Cumprimento De Sentença Contra A Fazenda Pública
12424,Medidas Protetivas - Estatuto Do Idoso Infracional,MPUEIInfr,12424:Medidas Protetivas - Estatuto Do Idoso Infracional
276,Notificação Para Explicações (Lei De Imprensa),NotExpLI,276:Notificação Para Explicações (Lei De Imprensa)
12561,Notícia De Irregularidade Em Propaganda Eleitoral,NIP,12561:Notícia De Irregularidade Em Propaganda Eleitoral
273,Pedido De Arquivamento Em Representação Criminal,PARC,273:Pedido De Arquivamento Em Representação Criminal
11029,Procedimentos Especiais Previstos Em Leis Esparsas,PEPLE,11029:Procedimentos Especiais Previstos Em Leis Esparsas
28,Anulação E Substituição De Títulos Ao Portador,ASTP,28:Anulação E Substituição De Títulos Ao Portador
91,Desapropriação Imóvel Rural Por Interesse Social,DIRIS,91:Desapropriação Imóvel Rural Por Interesse Social
11540,Procedimentos Administrativos Da Justiça Eleitoral,PAdmJEl,11540:Procedimentos Administrativos Da Justiça Eleitoral
27,Procedimentos Especiais De Jurisdição Contenciosa,PEJC,27:Procedimentos Especiais De Jurisdição Contenciosa
50,Procedimentos Especiais De Jurisdição Voluntária,PEJV,50:Procedimentos Especiais De Jurisdição Voluntária
11529,Procedimentos Relativos A Realização De Eleição,PRRE,11529:Procedimentos Relativos A Realização De Eleição
1322,Arguição De Descumprimento De Preceito Fundamental,ADPF,1322:Arguição De Descumprimento De Preceito Fundamental
10973,Impugnação Ao Valor Da Causa Infância E Juventude,ImpVCIJ,10973:Impugnação Ao Valor Da Causa Infância E Juventude
167,Insolvência Requerida Pelo Devedor Ou Pelo Espólio,IRPDPE,167:Insolvência Requerida Pelo Devedor Ou Pelo Espólio
12129,Outros Incidentes De Execução Iniciados De Ofício,OIncExInOf,12129:Outros Incidentes De Execução Iniciados De Ofício
310,Pedido De Quebra De Sigilo De Dados E/Ou Telefônico,QuebSig,310:Pedido De Quebra De Sigilo De Dados E/Ou Telefônico
94,Despejo Por Falta De Pagamento Cumulado Com Cobrança,DFPCC,94:Despejo Por Falta De Pagamento Cumulado Com Cobrança
11400,Agravo De Instrumento Em Recurso Ordinário Para O Stf,AIROSTF,11400:Agravo De Instrumento Em Recurso Ordinário Para O Stf
287,Crimes De Responsabilidade Dos Funcionários Públicos,CRFP,287:Crimes De Responsabilidade Dos Funcionários Públicos
11956,Embargos De Divergência Em Agravo Em Recurso Especial,EmbDivARESP,11956:Embargos De Divergência Em Agravo Em Recurso Especial
